"Enabled","Activé"
"Product","Produit"
"Details","Details"
"Select Product...","Choisir un produit..."
"Position","Position"
"Recommendation","Recommandation"
"General","Général"
"Default Recommendations","Recommandations par défaut"
"Add Recommendation","Ajouter une recommandation"
"The default recommendations acts as a fallback when Mediego can not recommend products. For the widgets to be displayed:","Les recommandations par défaut sont utilisées si Mediego ne peut recommander de produit. Pour que les widgets s'affichent :"
"you need enough default recommendations to fill them","vous devez avoir suffisamment de recommendations par défaut pour les remplir"
"the products must be visible and enabled","les produits doivent être visibles et activés"
"Save","Sauvegarder"
"Delete","Supprimer"
"Recommendation Details","Détails de la recommandation"
"Position","Position"
"Are you sure?","Êtes-vous certain ?"
"Successfully saved","Sauvegardé avec succès"
"Successfully deleted","Supprimé avec succès"
"Please select recommendations","Veuillez sélectionner au moins une recommandation"
"%d recommendation(s) were deleted","%d recommandation(s) supprimée(s)"
"Horizontal","Horizontal"
"Vertical (up to 3 recommendations)","Vertical (max. 3 recommandations)"
"Recommended Products","Produits recommandés"
"Open Graph tagging","Marquage Open Graph"
"Mediego Recommendations","Recommandations Mediego"
"Displays Mediego recommendations","Affiche les recommandations Mediego"
"Layout","Agencement"
"Custom Title","Titre personnalisé"
"Module Key (advanced)","Clé du module (avancé)"
"You must have enough default recommendations in the Catalog > Mediego menu, otherwise no recommendation will be suggested at all.","Vous devez avoir suffisamment de recommandations par défaut dans le menu Catalogue > Mediego, sinon aucune suggestion ne sera proposée."
"The identifier used to differenciate multiple widgets in the same page.","L'identifiant utilisé pour différencier plusieurs widgets dans une même page."
"Horizontal - 1 recommendation","Horizontal - 1 recommandation"
"Horizontal - 3 recommendations","Horizontal - 3 recommandations"
"Horizontal - 4 recommendations","Horizontal - 4 recommandations"
"Horizontal - 6 recommendations","Horizontal - 6 recommandations"
"Horizontal - 8 recommendations","Horizontal - 8 recommandations"
"Vertical - 1 recommendation","Vertical - 1 recommandation"
"Vertical - 3 recommendations","Vertical - 3 recommandations"
"Warning: Duplicate products will not be displayed","Attention : Les produits en double ne seront pas affichés"
"Display price","Afficher le prix"
